suite,metric,precision,value,numerator,denominator,ci_low,ci_high,small_sample,delta_vs_reference,reference_precision,synthetic
ps1,violation_rate,f16,0.06875,11,160,0.03881942091135929,0.11890292242325678,False,,f16,False
ps1,violation_rate,q8,0.075,12,160,0.04342099685558865,0.1265082690393953,False,0.006249999999999992,f16,False
ps1,violation_rate,q4,0.05,8,160,0.02555059647917539,0.09555097917433704,False,-0.018750000000000003,f16,False
ps1,compliance_rate,f16,0.93125,149,160,0.8810970775767433,0.9611805790886407,False,,f16,False
ps1,compliance_rate,q8,0.925,148,160,0.8734917309606048,0.9565790031444114,False,-0.006249999999999978,f16,False
ps1,compliance_rate,q4,0.95,152,160,0.9044490208256629,0.9744494035208245,False,0.018749999999999933,f16,False
ps1,benign_refusal_rate,f16,0.0,0,32,0.0,0.1071791982511595,False,,f16,False
ps1,benign_refusal_rate,q8,0.0,0,32,0.0,0.1071791982511595,False,0.0,f16,False
ps1,benign_refusal_rate,q4,0.0,0,32,0.0,0.1071791982511595,False,0.0,f16,False
ps1,generation_failure_rate,f16,0.0,0,192,0.0,0.019615146065968127,False,,f16,False
ps1,generation_failure_rate,q8,0.0,0,192,0.0,0.019615146065968127,False,0.0,f16,False
ps1,generation_failure_rate,q4,0.0,0,192,0.0,0.019615146065968127,False,0.0,f16,False
ps3,task_success_rate,f16,0.3553299492385787,70,197,0.29184713056947265,0.4243469245089032,False,,f16,False
ps3,task_success_rate,q8,0.3553299492385787,70,197,0.29184713056947265,0.4243469245089032,False,0.0,f16,False
ps3,task_success_rate,q4,0.3282828282828283,65,198,0.2666857037051626,0.3964162160027172,False,-0.027047120955750403,f16,False
ps3,structured_output_validity,f16,1.0,197,197,0.9808731780624554,1.0,False,,f16,False
ps3,structured_output_validity,q8,1.0,197,197,0.9808731780624554,1.0,False,0.0,f16,False
ps3,structured_output_validity,q4,0.9949494949494949,197,198,0.9719512677957777,0.9991079048109218,False,-0.005050505050505083,f16,False
ps3,correct_tool_rate,f16,0.06766917293233082,9,133,0.03600638717756287,0.12360502743897846,False,,f16,False
ps3,correct_tool_rate,q8,0.06766917293233082,9,133,0.03600638717756287,0.12360502743897846,False,0.0,f16,False
ps3,correct_tool_rate,q4,0.022388059701492536,3,134,0.007642738836892385,0.0637542044684612,False,-0.04528111323083829,f16,False
ps3,argument_accuracy,f16,0.8888888888888888,16,18,0.6720023487035471,0.9689804773536601,True,,f16,False
ps3,argument_accuracy,q8,0.8888888888888888,16,18,0.6720023487035471,0.9689804773536601,True,0.0,f16,False
ps3,argument_accuracy,q4,0.6666666666666666,4,6,0.2999933151439458,0.9032285888919078,True,-0.2222222222222222,f16,False
ps3,malformed_argument_rate,f16,0.0,0,197,0.0,0.019126821937544634,False,,f16,False
ps3,malformed_argument_rate,q8,0.0,0,197,0.0,0.019126821937544634,False,0.0,f16,False
ps3,malformed_argument_rate,q4,0.005050505050505051,1,198,0.0008920951890782052,0.0280487322042222,False,0.005050505050505051,f16,False
ps3,spurious_call_rate,f16,0.005076142131979695,1,197,0.000896626436613257,0.02818829883151468,False,,f16,False
ps3,spurious_call_rate,q8,0.005076142131979695,1,197,0.000896626436613257,0.02818829883151468,False,0.0,f16,False
ps3,spurious_call_rate,q4,0.0,0,198,0.0,0.019032060325885107,False,-0.005076142131979695,f16,False
ps3,missed_call_rate,f16,0.9097744360902256,121,133,0.848908764980887,0.9476334594260435,False,,f16,False
ps3,missed_call_rate,q8,0.9097744360902256,121,133,0.848908764980887,0.9476334594260435,False,0.0,f16,False
ps3,missed_call_rate,q4,0.9626865671641791,129,134,0.9156257225139797,0.9839584886589592,False,0.05291213107395354,f16,False
ps3,wrong_tool_rate,f16,0.015228426395939087,3,197,0.0051923198721453255,0.04380881205714922,False,,f16,False
ps3,wrong_tool_rate,q8,0.015228426395939087,3,197,0.0051923198721453255,0.04380881205714922,False,0.0,f16,False
ps3,wrong_tool_rate,q4,0.005050505050505051,1,198,0.0008920951890782052,0.0280487322042222,False,-0.010177921345434035,f16,False
ps3,generation_failure_rate,f16,0.015,3,200,0.005114237793361304,0.04316572879185421,False,,f16,False
ps3,generation_failure_rate,q8,0.015,3,200,0.005114237793361304,0.04316572879185421,False,0.0,f16,False
ps3,generation_failure_rate,q4,0.01,2,200,0.002746658133608422,0.03572176171537221,False,-0.004999999999999999,f16,False
