suite,metric,precision,value,numerator,denominator,ci_low,ci_high,small_sample,delta_vs_reference,reference_precision,synthetic
ps1,violation_rate,bf16,0.03125,5,160,0.013420516687864533,0.07106029128454423,False,,bf16,True
ps1,violation_rate,fp8,0.01875,3,160,0.006396850753388295,0.05367011209828472,False,-0.0125,bf16,True
ps1,violation_rate,q8,0.0625,10,160,0.0342996667465323,0.11121575402771587,False,0.03125,bf16,True
ps1,violation_rate,q4,0.12258064516129032,19,155,0.07989666809879935,0.18351981731519196,False,0.09133064516129032,bf16,True
ps1,compliance_rate,bf16,0.96875,155,160,0.9289397087154557,0.9865794833121354,False,,bf16,True
ps1,compliance_rate,fp8,0.98125,157,160,0.9463298879017152,0.9936031492466117,False,0.012499999999999956,bf16,True
ps1,compliance_rate,q8,0.9375,150,160,0.8887842459722841,0.9657003332534677,False,-0.03125,bf16,True
ps1,compliance_rate,q4,0.8774193548387097,136,155,0.8164801826848082,0.9201033319012007,False,-0.0913306451612903,bf16,True
ps1,benign_refusal_rate,bf16,0.03125,1,32,0.00553786016416194,0.1574426381963001,False,,bf16,True
ps1,benign_refusal_rate,fp8,0.03125,1,32,0.00553786016416194,0.1574426381963001,False,0.0,bf16,True
ps1,benign_refusal_rate,q8,0.03125,1,32,0.00553786016416194,0.1574426381963001,False,0.0,bf16,True
ps1,benign_refusal_rate,q4,0.125,4,32,0.04970134387569648,0.2806830548126732,False,0.09375,bf16,True
ps1,generation_failure_rate,bf16,0.0,0,192,0.0,0.019615146065968127,False,,bf16,True
ps1,generation_failure_rate,fp8,0.0,0,192,0.0,0.019615146065968127,False,0.0,bf16,True
ps1,generation_failure_rate,q8,0.0,0,192,0.0,0.019615146065968127,False,0.0,bf16,True
ps1,generation_failure_rate,q4,0.026041666666666668,5,192,0.011173609016340687,0.05950324819202494,False,0.026041666666666668,bf16,True
ps3,task_success_rate,bf16,0.925,185,200,0.879956389764804,0.954025082815162,False,,bf16,True
ps3,task_success_rate,fp8,0.93,186,200,0.885945191144976,0.9578478281712248,False,0.0050000000000000044,bf16,True
ps3,task_success_rate,q8,0.835,167,200,0.7773421846107027,0.8800314467170349,False,-0.09000000000000008,bf16,True
ps3,task_success_rate,q4,0.6414141414141414,127,198,0.5725060011867537,0.7049394767008749,False,-0.2835858585858586,bf16,True
ps3,structured_output_validity,bf16,0.985,197,200,0.9568342712081459,0.9948857622066387,False,,bf16,True
ps3,structured_output_validity,fp8,0.965,193,200,0.9295293884786539,0.9829444579911911,False,-0.020000000000000018,bf16,True
ps3,structured_output_validity,q8,0.955,191,200,0.9167032959991698,0.9761474569982053,False,-0.030000000000000027,bf16,True
ps3,structured_output_validity,q4,0.8737373737373737,173,198,0.8202539307762159,0.9129948322125164,False,-0.11126262626262629,bf16,True
ps3,correct_tool_rate,bf16,0.9191176470588235,125,136,0.8609708504371467,0.9542380365517951,False,,bf16,True
ps3,correct_tool_rate,fp8,0.9117647058823529,124,136,0.8521015658083453,0.948805410882545,False,-0.007352941176470562,bf16,True
ps3,correct_tool_rate,q8,0.8161764705882353,111,136,0.7427080317015733,0.8722741111146459,False,-0.1029411764705882,bf16,True
ps3,correct_tool_rate,q4,0.582089552238806,78,134,0.4974331177694671,0.6621705325999254,False,-0.3370280948200175,bf16,True
ps3,argument_accuracy,bf16,0.994535519125683,182,183,0.9697010132452218,0.9990347327855998,False,,bf16,True
ps3,argument_accuracy,fp8,0.9945945945945946,184,185,0.9700216873611149,0.9990451750904803,False,5.907546891159576e-05,bf16,True
ps3,argument_accuracy,q8,0.9704142011834319,164,169,0.932620301863271,0.9872978768249288,False,-0.02412131794225114,bf16,True
ps3,argument_accuracy,q4,0.905982905982906,106,117,0.8394644932408297,0.9466895380596816,False,-0.08855261314277707,bf16,True
ps3,malformed_argument_rate,bf16,0.015,3,200,0.005114237793361304,0.04316572879185421,False,,bf16,True
ps3,malformed_argument_rate,fp8,0.035,7,200,0.017055542008808943,0.07047061152134615,False,0.020000000000000004,bf16,True
ps3,malformed_argument_rate,q8,0.045,9,200,0.023852543001794693,0.08329670400083018,False,0.03,bf16,True
ps3,malformed_argument_rate,q4,0.12626262626262627,25,198,0.08700516778748357,0.1797460692237841,False,0.11126262626262627,bf16,True
ps3,spurious_call_rate,bf16,0.025,5,200,0.010724719651937182,0.057178340405748124,False,,bf16,True
ps3,spurious_call_rate,fp8,0.01,2,200,0.002746658133608422,0.03572176171537221,False,-0.015000000000000001,bf16,True
ps3,spurious_call_rate,q8,0.03,6,200,0.013820314340320994,0.0638942924535992,False,0.0049999999999999975,bf16,True
ps3,spurious_call_rate,q4,0.050505050505050504,10,198,0.02766155651741003,0.09045817448262808,False,0.025505050505050503,bf16,True
ps3,missed_call_rate,bf16,0.022058823529411766,3,136,0.00752992531042709,0.06284590531621824,False,,bf16,True
ps3,missed_call_rate,fp8,0.029411764705882353,4,136,0.011495862973362185,0.07318187795133477,False,0.007352941176470586,bf16,True
ps3,missed_call_rate,q8,0.04411764705882353,6,136,0.020374017012327328,0.09290754450847284,False,0.022058823529411766,bf16,True
ps3,missed_call_rate,q4,0.08208955223880597,11,134,0.046454325805621394,0.141017999586563,False,0.0600307287093942,bf16,True
ps3,wrong_tool_rate,bf16,0.015,3,200,0.005114237793361304,0.04316572879185421,False,,bf16,True
ps3,wrong_tool_rate,fp8,0.0,0,200,0.0,0.018845326376510842,False,-0.015,bf16,True
ps3,wrong_tool_rate,q8,0.035,7,200,0.017055542008808943,0.07047061152134615,False,0.020000000000000004,bf16,True
ps3,wrong_tool_rate,q4,0.0707070707070707,14,198,0.04258270418818157,0.11517209508151778,False,0.055707070707070705,bf16,True
ps3,generation_failure_rate,bf16,0.0,0,200,0.0,0.018845326376510842,False,,bf16,True
ps3,generation_failure_rate,fp8,0.0,0,200,0.0,0.018845326376510842,False,0.0,bf16,True
ps3,generation_failure_rate,q8,0.0,0,200,0.0,0.018845326376510842,False,0.0,bf16,True
ps3,generation_failure_rate,q4,0.01,2,200,0.002746658133608422,0.03572176171537221,False,0.01,bf16,True
